epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,6.991101211971706,6.906984585982102,0.0,0.0,1e-05
1,6.879672686258952,6.792943123059395,14.743589743589743,16.666666666666668,0.0012580000000000002
2,6.479115380181207,6.082804557604668,16.666666666666668,37.17948717948718,0.0025060000000000004
3,5.895303302341038,5.447623876424936,16.666666666666668,37.17948717948718,0.003754000000000001
4,5.49835729598999,4.878854910532634,17.94871794871795,39.743589743589745,0.005002
5,5.102293491363525,4.6173965380742,19.871794871794872,38.46153846153846,0.004861156978186257
6,4.840502791934544,4.484522342681885,16.666666666666668,39.1025641025641,0.004320885726140906
7,4.894430372450087,4.349342712989221,17.307692307692307,40.38461538461539,0.0037346572563004016
8,4.605423079596625,4.274154039529654,16.666666666666668,40.38461538461539,0.003125
9,4.620058907402886,4.215100459563426,16.666666666666668,42.30769230769231,0.0025153427436995996
10,4.613406552208795,4.156695145827073,17.307692307692307,42.94871794871795,0.0019291142738590947
11,4.5535628000895185,4.099003253838955,17.94871794871795,42.30769230769231,0.001388843021813744
12,4.542431831359863,4.078620311541435,17.94871794871795,40.38461538461539,0.0009152913087920392
13,4.504192246331109,4.063938422080798,17.94871794871795,41.666666666666664,0.0005266574615545458
14,4.485469924079047,4.04873973895342,17.94871794871795,40.38461538461539,0.00023787646090222896
15,4.550075001186794,4.040713628133138,17.94871794871795,40.38461538461539,6.0045998739904904e-05
