epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,6.991101211971706,6.906984585982102,0.0,0.0,1e-05
1,6.879550086127387,6.791735979226919,16.025641025641026,16.666666666666668,0.0012580000000000002
2,6.464068624708387,6.139432332454583,16.666666666666668,37.17948717948718,0.0025060000000000004
3,5.90823941760593,5.457294354071984,16.666666666666668,38.46153846153846,0.003754000000000001
4,5.493628025054932,4.809626994988857,17.307692307692307,38.46153846153846,0.005002
5,5.123420344458686,4.601257874415471,15.384615384615385,39.1025641025641,0.004861156978186257
6,4.860585848490397,4.4628845117031,17.94871794871795,38.46153846153846,0.004320885726140906
7,4.886799706353082,4.348584725306584,16.666666666666668,39.1025641025641,0.0037346572563004016
8,4.625955952538384,4.229226442483755,17.94871794871795,41.02564102564103,0.003125
9,4.656547493404812,4.189947605133057,18.58974358974359,37.82051282051282,0.0025153427436995996
10,4.615229659610325,4.1767945900941505,17.307692307692307,39.743589743589745,0.0019291142738590947
11,4.573279168870714,4.132428389329177,17.307692307692307,41.02564102564103,0.001388843021813744
12,4.556426313188341,4.12871886522342,17.307692307692307,41.666666666666664,0.0009152913087920392
13,4.5291023519304066,4.111962978656475,17.307692307692307,41.02564102564103,0.0005266574615545458
14,4.510781817966038,4.091284837478247,17.307692307692307,41.02564102564103,0.00023787646090222896
15,4.580881383683947,4.083546369503706,17.307692307692307,41.02564102564103,6.0045998739904904e-05
