epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,6.991101264953613,6.906984585982102,0.0,0.0,1e-05
1,6.881568590799968,6.791570663452148,5.769230769230769,16.666666666666668,0.0012580000000000002
2,6.474223454793294,6.1281603421920385,16.666666666666668,31.41025641025641,0.0025060000000000004
3,5.903709093729655,5.443588403555063,16.666666666666668,35.8974358974359,0.003754000000000001
4,5.508887608846028,4.865639955569536,15.384615384615385,37.82051282051282,0.005002
5,5.111017968919542,4.627700182107779,14.102564102564102,38.46153846153846,0.004861156978186257
6,4.875803841484918,4.485408403934577,14.743589743589743,38.46153846153846,0.004320885726140906
7,4.88258335325453,4.36892109650832,15.384615384615385,37.82051282051282,0.0037346572563004016
8,4.637827184465197,4.287482775174654,16.666666666666668,38.46153846153846,0.003125
9,4.639227072397868,4.237858112041767,16.666666666666668,39.1025641025641,0.0025153427436995996
10,4.61775377061632,4.176446388929318,16.666666666666668,38.46153846153846,0.0019291142738590947
11,4.56381262673272,4.1672929250277,17.307692307692307,39.743589743589745,0.001388843021813744
12,4.560701317257351,4.102302172245124,17.307692307692307,39.1025641025641,0.0009152913087920392
13,4.530649344126384,4.109398438380315,17.307692307692307,38.46153846153846,0.0005266574615545458
14,4.504539754655626,4.099383867703951,17.307692307692307,38.46153846153846,0.00023787646090222896
15,4.572002675798204,4.088811458685459,17.307692307692307,38.46153846153846,6.0045998739904904e-05
